0,CombatZoneResize,239,226,404,391,TLResume,,,
0.6,GasterBlaster,2,550,0,550,120,90,0.4,1
0.5,SansText,why isnt it disappearing...,,,,,
0,SansText,well im going to use my          blaster...,,,,,,
0,SansText,to kill you down in the          pants!,,,,,,,
0,SansText,but first...,,,,,,
0.4,BoneStab,2,70,0,0,,,,
0,BoneStab,0,70,0,4.05,,,,
0.08,BoneStab,2,68,0,0,,,,
0.08,BoneStab,2,66,0,0,,,,
0.08,BoneStab,2,64,0,0,,,,
0.08,BoneStab,2,62,0,0,,,,
0.08,BoneStab,2,60,0,0,,,,
0.08,BoneStab,2,58,0,0,,,,
0.08,BoneStab,2,56,0,0,,,,
0.08,BoneStab,2,54,0,0,,,,
0.08,BoneStab,2,52,0,0,,,,
0.08,BoneStab,2,50,0,0,,,,
0.08,BoneStab,2,48,0,0,,,,
0.08,BoneStab,2,46,0,0,,,,
0.08,BoneStab,2,44,0,0,,,,
0.08,BoneStab,2,42,0,0,,,,
0.08,BoneStab,2,40,0,0,,,,
0,GasterBlaster,1,320,0,320,240,90,0.5,0.3
0.08,BoneStab,2,38,0,0,,,,
0.08,BoneStab,2,36,0,0,,,,
0.08,BoneStab,2,34,0,0,,,,
0.08,BoneStab,2,32,0,0,,,,
0.08,BoneStab,2,30,0,0,,,,
0.08,BoneStab,2,28,0,0,,,,
0.08,BoneStab,2,26,0,0,,,,
0.08,BoneStab,2,24,0,0,,,,
0.08,BoneStab,2,22,0,0,,,,
0.08,BoneStab,2,20,0,0,,,,
0.08,BoneStab,2,22,0,0,,,,
0.08,BoneStab,2,24,0,0,,,,
0.08,BoneStab,2,26,0,0,,,,
0.08,BoneStab,2,28,0,0,,,,
0.08,BoneStab,2,30,0,0,,,,
0.08,BoneStab,2,32,0,0,,,,
0.08,BoneStab,2,34,0,0,,,,
0.08,BoneStab,2,36,0,0,,,,
0.08,BoneStab,2,38,0,0,,,,
0.08,BoneStab,2,40,0,0,,,,
0.08,BoneStab,2,42,0,0,,,,
0.08,BoneStab,2,44,0,0,,,,
0.08,BoneStab,2,46,0,0,,,,
0.08,BoneStab,2,48,0,0,,,,
0.08,BoneStab,2,50,0,0,,,,
0.08,BoneStab,2,52,0,0,,,,
0.08,BoneStab,2,54,0,0,,,,
0.08,BoneStab,2,56,0,0,,,,
0.08,BoneStab,2,58,0,0,,,,
0.08,BoneStab,2,60,0,0,,,,
0.08,BoneStab,2,62,0,0,,,,
0.08,BoneStab,2,64,0,0,,,,
0.08,BoneStab,2,66,0,0,,,,
0.08,BoneStab,2,68,0,0,,,,
0.08,BoneStab,2,70,0,0,,,,
0.4,BoneStab,0,70,0,0,,,,
0,BoneStab,2,70,0,4.05,,,,
0.08,BoneStab,0,68,0,0,,,,
0.08,BoneStab,0,66,0,0,,,,
0.08,BoneStab,0,64,0,0,,,,
0.08,BoneStab,0,62,0,0,,,,
0.08,BoneStab,0,60,0,0,,,,
0.08,BoneStab,0,58,0,0,,,,
0.08,BoneStab,0,56,0,0,,,,
0.08,BoneStab,0,54,0,0,,,,
0.08,BoneStab,0,52,0,0,,,,
0.08,BoneStab,0,50,0,0,,,,
0.08,BoneStab,0,48,0,0,,,,
0.08,BoneStab,0,46,0,0,,,,
0.08,BoneStab,0,44,0,0,,,,
0,GasterBlaster,1,320,0,320,240,90,0.5,0.3
0.08,BoneStab,0,42,0,0,,,,
0.08,BoneStab,0,40,0,0,,,,
0.08,BoneStab,0,38,0,0,,,,
0.08,BoneStab,0,36,0,0,,,,
0.08,BoneStab,0,34,0,0,,,,
0.08,BoneStab,0,32,0,0,,,,
0.08,BoneStab,0,30,0,0,,,,
0.08,BoneStab,0,28,0,0,,,,
0.08,BoneStab,0,26,0,0,,,,
0.08,BoneStab,0,24,0,0,,,,
0.08,BoneStab,0,22,0,0,,,,
0.08,BoneStab,0,20,0,0,,,,
0.08,BoneStab,0,22,0,0,,,,
0.08,BoneStab,0,24,0,0,,,,
0.08,BoneStab,0,26,0,0,,,,
0.08,BoneStab,0,28,0,0,,,,
0.08,BoneStab,0,30,0,0,,,,
0.08,BoneStab,0,32,0,0,,,,
0.08,BoneStab,0,34,0,0,,,,
0.08,BoneStab,0,36,0,0,,,,
0.08,BoneStab,0,38,0,0,,,,
0.08,BoneStab,0,40,0,0,,,,
0.08,BoneStab,0,42,0,0,,,,
0.08,BoneStab,0,44,0,0,,,,
0.08,BoneStab,0,46,0,0,,,,
0.08,BoneStab,0,48,0,0,,,,
0.08,BoneStab,0,50,0,0,,,,
0.08,BoneStab,0,52,0,0,,,,
0.08,BoneStab,0,54,0,0,,,,
0.08,BoneStab,0,56,0,0,,,,
0.08,BoneStab,0,58,0,0,,,,
0.08,BoneStab,0,60,0,0,,,,
0.08,BoneStab,0,62,0,0,,,,
0.08,BoneStab,0,64,0,0,,,,
0.08,BoneStab,0,66,0,0,,,,
0.08,BoneStab,0,68,0,0,,,,
0.08,BoneStab,0,70,0,0,,,,
2.5,EndAttack,,,,,,

